id,name,year,semester,divisionNumber,course,courseId,specialization,specializationShortCode,specializationId,createdAt
9,24BCADS1,24,5,1,BCA,3,Data Science,DS,4,Thu May 07 2026 09:08:33 GMT+0530 (India Standard Time)
10,24BCADS2,24,5,2,BCA,3,Data Science,DS,4,Thu May 07 2026 09:08:55 GMT+0530 (India Standard Time)
11,24BCAREG3,24,5,3,BCA,3,Regular,REG,6,Thu May 07 2026 09:09:17 GMT+0530 (India Standard Time)
12,24BCAREG4,24,5,4,BCA,3,Regular,REG,6,Thu May 07 2026 09:09:36 GMT+0530 (India Standard Time)
13,25BCAAI1,25,3,1,BCA,3,Artificial Intelligence,AI,5,Thu May 07 2026 15:57:34 GMT+0530 (India Standard Time)
14,25BCADS2,25,3,2,BCA,3,Data Science,DS,4,Thu May 07 2026 15:57:48 GMT+0530 (India Standard Time)
15,25BCAREG3,25,3,3,BCA,3,Regular,REG,6,Thu May 07 2026 15:58:10 GMT+0530 (India Standard Time)
16,25BCAREG4,25,3,4,BCA,3,Regular,REG,6,Thu May 07 2026 15:58:49 GMT+0530 (India Standard Time)
17,25BCAREG5,25,3,5,BCA,3,Regular,REG,6,Thu May 07 2026 15:59:07 GMT+0530 (India Standard Time)
18,26BCAAI1,26,1,1,BCA,3,Artificial Intelligence,AI,5,Thu May 07 2026 15:59:24 GMT+0530 (India Standard Time)
19,26BCADS2,26,1,2,BCA,3,Data Science,DS,4,Thu May 07 2026 15:59:33 GMT+0530 (India Standard Time)
20,26BCAREG3,26,1,3,BCA,3,Regular,REG,6,Thu May 07 2026 15:59:54 GMT+0530 (India Standard Time)
21,26BCAREG4,26,1,4,BCA,3,Regular,REG,6,Thu May 07 2026 16:00:05 GMT+0530 (India Standard Time)
22,26BCAREG5,26,1,5,BCA,3,Regular,REG,6,Thu May 07 2026 16:00:21 GMT+0530 (India Standard Time)
23,23BCAREG1,23,7,1,BCA,3,Regular,REG,6,Fri May 08 2026 10:34:55 GMT+0530 (India Standard Time)